real,imag
46.2263,374.547
-143.533,-385.124
144.133,465.634
-255.659,-401.527
253.784,412.56
-342.398,-293.358
296.864,270.605
-324.631,-142.461
208.253,135.121
-165.092,-42.2663
-11.1427,82.348
92.4953,-39.3609
-277.057,121.824
332.612,-105.327
-457.887,193.039
426.378,-159.237
-446.95,210.059
306.249,-126.477
-227.345,123.781
9.98463,7.19278
112.789,-42.4616
-335.909,185.33
426.436,-209.899
-584.718,321.819
587.578,-301.278
-647.824,362.484
555.407,-294.876
-534.89,320.699
384.888,-234.579
-334.455,260.054
182.221,-188.93
-153.273,238.501
39.4546,-192.324
-57.7985,259.328
-7.5447,-216.54
-54.5052,269.782
24.7443,-197.275
-113.697,210.278
103.938,-95.6942
-209.121,74.9384
215.04,55.6416
-337.434,-68.0483
362.146,163.866
-502.583,-118.327
540.177,141.25
-682.739,-19.7549
706.253,-22.9798
-814.687,187.591
783.054,-242.257
-818.013,384.434
701.016,-385.427
-648.224,451.743
452.303,-368.08
-340.521,356.195
114.61,-214.972
-7.17639,176.501
-179.547,-44.0624
217.59,47.265
-313.904,19.5664
252.851,59.4524
-254.905,-62.8433
116.959,191.761
-69.0171,-214.059
-86.9721,326.503
121.114,-299.825
-236.529,340.47
212.29,-233.797
-262.7,202.935
178.237,-48.6139
-182.879,4.84591
73.5131,123.58
-76.378,-106.426
-13.6335,149.967
-24.1294,-40.2922
-23.3765,2.13853
-55.7894,161.438
40.6891,-213.656
-137.499,346.862
122.468,-328.246
-202.131,362.157
155.898,-233.697
-195.447,167.72
106.236,31.4596
-105.794,-124.766
-15.6755,301.461
37.5786,-325.199
-168.498,396.748
188.286,-297.995
-307.18,251.323
307.327,-59.6093
-401.377,-38.3113
373.639,230.723
-438.514,-279.214
381.7,381.673
-418.811,-316.668
336.791,303.27
-352.661,-141.495
254.905,68.1611
-262.018,105.906
163.537,-141.929
-178.189,236.227
94.6083,-164.823
-129.35,143.65
67.7586,30.5212
-122.428,-123.712
74.7497,327.052
-134.164,-402.492
80.4317,545.668
-123.367,-530.555
45.2143,569.917
-60.0413,-456.666
-44.6347,420.77
49.4795,-267.501
-162.812,232.223
163.168,-117.875
-259.307,150.449
232.783,-118.446
-297.386,231.202
240.662,-261.492
-282.034,406.73
213,-433.644
-254.246,540.384
195.383,-500.831
-252.312,525.169
207.903,-401.833
-270.837,355.355
218.02,-185.734
-255.02,124.325
159.603,27.8185
-142.501,-43.9959
-9.63367,132.436
74.9166,-78.507
-255.371,103.05
319.952,-2.37134
-465.802,4.77959
462.722,90.5158
-514.85,-57.1003
404.379,101.851
-351.381,-7.35106
154.859,-9.29272
-49.5822,155.799
-155.634,-207.43
223.081,367.396
-348.684,-410.025
306.575,540.982
-309.722,-539.715
151.62,618.592
-63.5493,-564.125
-146.942,594.961
241.227,-502.24
-412.35,507.096
429.988,-400.945
-501.55,403.304
414.401,-302.674
-393.667,315.096
241.229,-225.756
-190.999,248.143
46.5499,-166.028
-36.4429,192.725
-46.7236,-112.922
-11.4733,141.589
-10.6779,-65.325
-89.6609,100.764
84.1302,-35.4863
-174.948,86.1256
138.936,-39.1847
-187.83,109.258
109.951,-80.153
-127.805,163.571
37.2653,-140.75
-63.4791,221.654
-0.493662,-187.019
-62.9414,247.747
36.387,-186.932
-126.602,218.971
107.636,-131.077
-182.17,141.731
125.86,-41.4714
-148.613,50.704
37.5617,39.9521
-15.9177,-11.9989
-117.01,78.4936
129.829,-25.8163
-221.192,72.2563
164.724,-8.7901
-170.593,56.7153
28.4418,-7.69953
34.1107,81.0751
-212.069,-64.0431
267.859,169.633
-394.298,-177.995
360.301,295.706
-373.057,-298.404
221.351,391.183
-134.172,-351.818
-80.0471,391.074
178.622,-295.161
-348.148,284.645
350.874,-155.115
-387.576,134.245
241.523,-20.8924
-137.631,41.2173
-117.886,12.3146
282.466,76.0311
-540.671,-85.9479
650.669,220.313
-807.397,-248.318
786.959,366.857
